0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
100.0;99.92;99.73;99.5;99.11;98.22;96.88;94.83;90.65;72.23;1.0;
100.0;99.85;99.72;99.5;99.05;98.49;97.19;95.41;91.28;71.37;1.0;
100.0;99.93;99.68;99.48;99.19;98.53;97.43;95.09;91.02;74.65;1.0;
100.0;99.89;99.72;99.3;99.15;98.6;97.53;95.16;90.51;72.26;1.0;
100.0;99.87;99.76;99.46;98.98;98.4;97.11;95.87;90.97;72.94;1.0;
100.0;99.87;99.71;99.4;99.15;98.22;96.98;95.04;90.77;72.75;1.0;
100.0;99.9;99.73;99.52;99.06;98.4;97.48;94.55;90.71;69.97;1.0;
100.0;99.81;99.71;99.4;98.97;98.45;97.31;95.82;90.84;72.24;1.0;
100.0;99.89;99.58;99.27;99.01;98.58;97.17;95.72;90.08;75.06;1.0;
100.0;99.86;99.65;99.53;99.21;98.35;97.13;94.93;90.45;71.98;1.0;
